canshare-data-absent-reason	253111000210109	NZ cancer data absent reason	A reason that no specific value is available.	Created	
canshare-observation	253121000210104	NZ cancer observation code	Observable entities used to represent the meaning of CanShare data elements.	Created	
canshare-sact-basis-of-cancer-diagnosis	253131000210102	NZ SACT basis of diagnosis	Types of evidence that may be used to reach a cancer diagnosis, which is treated with systemic anti cancer therapy (SACT).	Created	
canshare-who5-haematology-histology	253231000210109	NZ WHO haematolymphoid tumour histology (5th edition)	Histologies used for haematolymphoid cancer types (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition) 	To be updated - value set ID	canshare-haematology-histology
canshare-who5-haematology-myeloid-histology	263321000210108	NZ WHO haematolymphoid myeloid proliferation or neoplasm histology (5th edition)	Histologies used for myeloid proliferations and neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 2. Myeloid proliferations and neoplasms) 	To be updated - value set ID	canshare-haematology-myeloid-histology
canshare-who5-haematology-histiocytic-histology	263331000210105	NZ WHO haematolymphoid histiocytic dendritic cell neoplasm histology (5th edition)	Histologies used for histiocytic and dendritic cell neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 3. Histiocytic/Dendritic cell neoplasms) 	To be updated - value set ID	canshare-haematology-histiocytic-histology
canshare-who5-haematology-b-cell-histology	263341000210102	NZ WHO haematolymphoid B cell lymphoid proliferation or lymphoma histology (5th edition)	Histologies used for B cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 4. B cell lymphoid proliferations and lymphomas) 	To be updated - value set ID	canshare-haematology-b-cell-histology
canshare-who5-haematology-t-nk-cell-histology	263351000210104	NZ WHO haematolymphoid T cell and NK cell lymphoid proliferation or lymphoma histology (5th edition)	Histologies used for T cell and NK cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 5. T cell and NK cell lymphoid proliferations and lymphomas) 	To be updated - value set ID	canshare-haematology-t-nk-cell-histology
canshare-who5-haematology-stroma-histology	263361000210101	NZ WHO haematolymphoid stroma derived neoplasm of lymphoid tissue histology (5th edition)	Histologies used for stroma-derived neoplasms of lymphoid tissues (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 6. Stroma-derived neoplasms of lymphoid tissues) 	To be updated - value set ID	canshare-haematology-stroma-histology
canshare-laterality	253241000210101	NZ cancer laterality	The side of a paired organ, e.g. left or right.	Created	
canshare-grading-system	253281000210108	NZ cancer grading system	Grading systems used to assess the grade of one or more cancer types.	Created	
canshare-recurrence-type	253291000210105	NZ cancer recurrence type	The type of cancer recurrence, e.g. local, regional.	Created	
canshare-ecog-status	253301000210109	NZ cancer ECOG status	The performance status of a patient as defined by the Eastern Cooperative Oncology Group (ECOG).	Created	
canshare-tnm8-ct	253451000210104	NZ AJCC (8th edition) clinical T category	A clinical tumour stage (cT) of a tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-breast-ct	253491000210106	NZ AJCC (8th edition) breast clinical T category	A clinical tumour stage (cT) of a breast tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-ct	253501000210101	NZ AJCC (8th edition) haematology clinical T category	A clinical tumour stage (cT) of a haematologic cancer before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-mf-or-ss-ct	253571000210108	NZ AJCC (8th edition) haematology mycosis fungoides or sezary syndrome clinical T category	A clinical tumour stage (cT) of a mycosis fungoides or sezary syndrome cutaneous lymphoma before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-non-mf-or-ss-ct	253581000210105	NZ AJCC (8th edition) haematology primary cutaneous B cell or T cell (non-MF/SS) lymphoma clinical T category	A clinical tumour stage (cT) of a cutaneous B cell or T cell lymphoma (non-mycosis fungoides and non-sezary syndrome) before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-pt	253461000210101	NZ AJCC (8th edition) pathological T category	A pathological tumour stage (pT) of a tumour, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-breast-pt	253511000210104	NZ AJCC (8th edition) breast pathological T category	A pathological tumour stage (pT) of a breast tumour, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-pt	253521000210109	NZ AJCC (8th edition) haematology pathological T category	A pathological tumour stage (pT) of a haematologic cancer, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-mf-or-ss-pt	253591000210107	NZ AJCC (8th edition) haematology mycosis fungoides or sezary syndrome pathological T category	A pathological tumour stage (pT) of a mycosis fungoides or sezary syndrome cutaneous lymphoma, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-non-mf-or-ss-pt	253601000210102	NZ AJCC (8th edition) haematology primary cutaneous B cell or T cell (non-MF/SS) lymphoma pathological T category	A pathological tumour stage (pT) of a cutaneous B cell or T cell lymphoma (non-mycosis fungoides and non-sezary syndrome), using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-cn	253471000210107	NZ AJCC (8th edition) clinical N category	A clinical regional lymph node stage (cN) before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-breast-cn	253531000210106	NZ AJCC (8th edition) breast clinical N category	A clinical regional lymph node stage (cN) of a breast tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-cn	253541000210103	NZ AJCC (8th edition) haematology clinical N category	A clinical regional lymph node stage (cN) of a haematologic cancer before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-mf-or-ss-cn	253611000210100	NZ AJCC (8th edition) haematology mycosis fungoides or sezary syndrome clinical N category	A clinical regional lymph node stage (cN) of a mycosis fungoides or sezary syndrome cutaneous lymphoma before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-non-mf-or-ss-cn	253621000210105	NZ AJCC (8th edition) haematology primary cutaneous B cell or T cell (non-MF/SS) lymphoma clinical N category	A clinical regional lymph node stage (cN) of a cutaneous B cell or T cell lymphoma (non-mycosis fungoides and non-sezary syndrome) before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-pn	253481000210109	NZ AJCC (8th edition) pathological N category	A pathological regional lymph node stage (pN), using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-breast-pn	253551000210100	NZ AJCC (8th edition) breast pathological N category	A pathological regional lymph node stage (pN) of a breast tumour, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-pn	253561000210102	NZ AJCC (8th edition) haematology pathological N category	A pathological regional lymph node stage (pN) of a haematologic cancer, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-mf-or-ss-pn	253631000210107	NZ AJCC (8th edition) haematology mycosis fungoides or sezary syndrome pathological N category	A pathological regional lymph node stage (pN) of a mycosis fungoides or sezary syndrome cutaneous lymphoma, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-non-mf-or-ss-pn	253641000210104	NZ AJCC (8th edition) haematology primary cutaneous B cell or T cell (non-MF/SS) lymphoma pathological N category	A pathological regional lymph node stage (pN) of a cutaneous B cell or T cell lymphoma (non-mycosis fungoides and non-sezary syndrome), using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-cm	253651000210101	NZ AJCC (8th edition) clinical M category	A clinical distant metastasis stage (cM) before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-breast-cm	253701000210108	NZ AJCC (8th edition) breast clinical M category	A clinical distant metastasis stage (cM) of a breast tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-cm	253711000210105	NZ AJCC (8th edition) haematology clinical M category	A clinical distant metastasis stage (cM) of a haematologic cancer before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-mf-or-ss-cm	253821000210106	NZ AJCC (8th edition) haematology mycosis fungoides or sezary syndrome clinical M category	A clinical distant metastasis stage (cM) of a mycosis fungoides or sezary syndrome cutaneous lymphoma before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-non-mf-or-ss-cm	253831000210108	NZ AJCC (8th edition) haematology primary cutaneous B cell or T cell (non-MF/SS) lymphoma clinical M category	A clinical distant metastasis stage (cM) of a cutaneous B cell or T cell lymphoma (non-mycosis fungoides and non-sezary syndrome) before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-pm	253661000210103	NZ AJCC (8th edition) pathological M category	A pathological distant metastasis stage (pM), using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-breast-pm	253721000210100	NZ AJCC (8th edition) breast pathological M category	A pathological distant metastasis stage (pM) of a breast tumour, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-pm	253731000210103	NZ AJCC (8th edition) haematology pathological M category	A pathological distant metastasis stage (pM) of a haematologic cancer, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-mf-or-ss-pm	253841000210100	NZ AJCC (8th edition) haematology mycosis fungoides or sezary syndrome pathological M category	A pathological distant metastasis stage (pM) of a mycosis fungoides or sezary syndrome cutaneous lymphoma, using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-tnm8-haematology-non-mf-or-ss-pm	253851000210102	NZ AJCC (8th edition) haematology cutaneous B cell or T cell non-mycosis fungoides and non-sezary syndrome lymphoma pathological M category	A pathological distant metastasis stage (pM) of a cutaneous B cell or T cell lymphoma (non-mycosis fungoides and non-sezary syndrome), using the AJCC cancer staging manual (8th edition).	To be updated - value set ID	
canshare-ajcc-staging-manual-edition	253671000210109	NZ AJCC cancer staging manual edition	A numbered edition of the AJCC (AJCC)'s cancer staging system.	Created	
canshare-tnm8-clinical-stage-group	253681000210106	NZ AJCC (8th edition) clinical stage group	The clinical stage groups that describe how far a cancer has grown and spread before initiation of treatment, using AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-breast-clinical-stage-group	253741000210106	NZ AJCC (8th edition) breast clinical stage group	The clinical stage groups that describe how far a breast cancer has grown and spread before initiation of treatment, using AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-pathological-stage-group	253691000210108	NZ AJCC (8th edition) pathological stage group	The pathological stage groups that describe how far a cancer has grown and spread using information obtained from pathological examination of tissue samples, using AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-breast-pathological-stage-group	253751000210109	NZ AJCC (8th edition) breast pathological stage group	The pathological stage groups that describe how far a breast cancer has grown and spread using information obtained from pathological examination of tissue samples, using AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-stage-group	263581000210104	NZ AJCC (8th edition) haematology stage group	The stage groups that describe how far a haematologic cancer has grown and spread, using AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-hl-or-nhl-stage-group	253761000210107	NZ AJCC (8th edition) haematology Hodgkin or non-Hodgkin lymphoma stage group	The stage groups that describe how far a Hodgkin or non-Hodgkin lymphoma has grown and spread, using AJCC cancer staging manual (8th edition). 	To be updated - value set ID + description	
canshare-tnm8-haematology-cll-or-sll-stage-group	253771000210101	NZ AJCC (8th edition) haematology chronic lymphocytic leukemia or small lymphocytic lymphoma stage group	The stage groups that describe how far a chronic lymphocytic lymphoma or a small lymphocytic lymphoma has grown and spread, using AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-paed-hl-stage-group	253781000210104	NZ AJCC (8th edition) haematology pediatric Hodgkin lymphoma stage group	The stage groups that describe how far a paediatric Hodgkin lymphoma has grown and spread, using AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-paed-nhl-stage-group	253791000210102	NZ AJCC (8th edition) haematology pediatric non-Hodgkin lymphoma stage group	The stage groups that describe how far a paediatric non-Hodgkin lymphoma has grown and spread, using AJCC cancer staging manual (8th edition). 	To be updated - value set ID + description	
canshare-tnm8-haematology-mf-or-ss-stage-group	253801000210103	NZ AJCC (8th edition) haematology mycosis fungoides or sezary syndrome stage group	The stage groups that describe how far a mycosis fungoides or sezary syndrome has grown and spread, using AJCC cancer staging manual (8th edition).	To be updated - value set ID + description	
canshare-tnm8-haematology-pcm-stage-group	253811000210101	NZ AJCC (8th edition) haematology plasma cell myeloma stage group	The stage groups that describe how far a plasma cell myeloma has grown and spread, using AJCC cancer staging manual (8th edition). 	To be updated - value set ID + description	
canshare-staging-system	253311000210106	NZ cancer staging system	Systems that may be used to classify the stage of a cancer diagnosis.	Created	
canshare-prognostic-scoring-system	253321000210101	NZ cancer prognostic scoring system	Systems that may be used to score the prognostic factors of a cancer diagnosis.	Created	
canshare-treatment-intent	253361000210108	NZ cancer treatment intent	Treatment intents or reasons for using a therapeutic procedure to treat cancer.	Created	
canshare-mo-treatment-intent	253861000210104	NZ cancer medical oncology treatment intent	Intents or reasons for using a therapeutic procedure to treat solid tumours.	Created	
canshare-haematology-treatment-intent	253871000210105	NZ cancer haematology treatment intent	Intents or reasons for using a therapeutic procedure to treat haematological cancers.	Created	
canshare-sact-overall-discontinue-reason	253371000210102	NZ SACT overall discontinue reason	Overall reasons that a systemic anti-cancer therapy (SACT) regimen may be discontinued.	Created	
canshare-sact-patient-factor-discontinue-reason	253381000210100	NZ SACT patient factor discontinue	Patient factors that may result in the discontinuation of a systemic anti-cancer therapy (SACT) treatment.	Created	
canshare-sact-toxicity-discontinue-reason	253391000210103	NZ systemic anti-cancer therapy toxicity discontinue reason	Toxicity factors that may result in the discontinuation of a systemic anti-cancer therapy (SACT) treatment.	Created	
canshare-sact-disease-response	253401000210100	NZ systemic anti-cancer therapy disease response	Types of responses to a systemic anti-cancer therapy (SACT) treatment.	Created	
canshare-sact-dose-adjustment-reason	253411000210103	NZ SACT dose adjustment reason	Reasons for adjusting the dose of a systemic anti-cancer therapy (SACT) treatment cycle.	Created	
canshare-sact-dose-unit	253421000210108	NZ SACT dose unit	Units that may be used to describe the dose of a systemic anti-cancer therapy (SACT) medication.	Created	
canshare-sact-route-of-administration	253441000210102	NZ SACT route of administration	Routes by which a systemic anti-cancer therapy (SACT) medication may be administered to a patient.	Created	
canshare-sact-dose-form	263511000210105	NZ SACT dose form	Dose forms in which a systemic anti-cancer therapy (SACT) medication may be prescribed or administered.	Created	
canshare-er-expression	253331000210104	NZ cancer ER expression	An assessment of whether or not a tumour is estrogen receptive (ER).	Created	
canshare-pr-expression	253341000210107	NZ cancer PR expression	An assessment of whether or not a tumour is progesterone receiptive (PR).	Created	
canshare-her2-expression	253351000210105	NZ cancer HER2 expression	An assessment of the human epidermal growth factor receptor 2 (HER2) status of a tumour.	Created	